Commissioner Org Name,Treatment Function Name,Commissioner Org Code,Treatment Function Code,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104
East Staffordshire,Gastroenterology Service,05D,C_301,50,31,32,37,38,49,21,30,27,31,25,38,21,32,19,30,24,32,16,23,23,9,24,11,26,26,11,13,20,11,14,8,11,12,6,5,5,9,2,7,4,5,3,4,3,3,6,5,4,6,2,8,1,0,2,2,0,1,1,0,0,0,1,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
East Sussex,Gastroenterology Service,97R,C_301,231,170,185,153,127,119,126,129,162,117,112,143,164,127,163,152,106,128,129,136,122,81,91,60,121,97,100,101,95,95,103,86,86,90,67,71,68,47,30,26,40,38,41,45,26,28,21,20,26,26,25,36,25,14,11,10,2,3,2,3,5,1,2,2,5,2,1,1,1,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Frimley,Gastroenterology Service,D4U1Y,C_301,22,11,7,21,11,16,20,15,21,22,9,13,17,15,12,11,16,12,13,19,8,5,11,8,9,7,4,5,8,5,5,3,10,4,6,2,4,5,0,1,5,2,2,4,1,3,1,5,5,5,0,0,5,0,1,2,0,0,2,1,1,0,0,0,0,2,1,3,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fylde And Wyre,Gastroenterology Service,02M,C_301,70,66,84,73,39,39,44,64,43,31,45,55,60,60,41,59,55,41,62,55,59,40,44,43,26,31,23,31,25,21,16,23,15,21,26,24,20,10,8,9,23,18,15,17,17,14,16,11,12,15,7,9,7,7,10,8,10,13,18,10,10,6,7,7,2,6,10,7,7,4,6,4,2,3,3,5,1,1,2,2,0,1,5,1,3,2,0,1,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Gloucestershire,Gastroenterology Service,11M,C_301,304,224,197,169,232,252,151,189,212,172,143,104,189,145,114,160,128,90,56,34,23,49,39,22,35,25,39,26,24,33,27,27,29,26,26,26,21,19,20,6,22,15,14,19,17,21,21,25,17,10,21,11,3,7,6,2,3,6,1,3,2,2,0,0,0,0,1,1,1,1,0,1,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Greater Preston,Gastroenterology Service,01E,C_301,37,30,40,34,24,26,47,46,42,24,32,26,62,22,30,42,29,14,23,35,23,19,23,14,14,20,19,16,20,28,17,22,14,14,22,12,15,15,5,4,5,22,16,12,10,15,3,6,4,10,6,7,3,2,3,7,7,11,7,8,5,7,6,6,4,4,0,2,2,2,2,2,1,0,1,3,3,7,0,1,0,0,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Halton,Gastroenterology Service,01F,C_301,101,69,94,87,39,52,61,44,40,51,32,35,27,28,38,33,27,15,21,21,12,8,23,11,13,15,12,13,17,8,11,17,12,8,5,6,2,6,3,5,2,2,2,0,2,1,1,4,0,0,1,3,1,2,1,0,1,0,1,0,0,0,2,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hampshire, Southampton And Isle Of Wight",Gastroenterology Service,D9Y0V,C_301,558,452,520,454,353,377,465,323,328,327,330,264,255,227,257,262,206,163,187,187,174,108,140,110,111,148,167,129,111,101,97,86,118,94,85,86,65,60,47,30,41,57,60,47,41,52,34,28,29,24,34,21,11,15,18,26,8,11,13,5,6,11,12,6,5,6,2,3,3,2,6,2,2,3,2,2,1,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Herefordshire And Worcestershire,Gastroenterology Service,18C,C_301,181,181,200,155,148,180,186,161,161,152,159,153,183,143,119,133,99,119,157,134,128,107,114,43,115,123,97,90,84,79,60,52,52,61,64,60,48,47,26,20,34,26,42,25,32,29,26,23,30,23,34,18,25,27,6,12,19,11,16,16,18,12,12,11,8,4,8,8,2,1,2,5,1,1,3,0,0,0,1,1,3,1,4,0,1,1,0,0,0,2,0,1,1,1,0,0,0,0,1,0,0,0,1,0,0
Herts Valleys,Gastroenterology Service,06N,C_301,379,273,321,312,262,281,268,263,242,264,218,239,236,203,192,211,141,168,190,187,179,125,174,118,167,172,140,148,144,123,118,99,115,117,118,111,134,104,78,35,97,89,112,123,119,80,94,62,49,44,47,28,23,11,11,8,11,7,8,11,13,6,4,9,3,10,2,11,4,2,5,2,2,1,0,2,0,0,2,1,1,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Heywood, Middleton And Rochdale",Gastroenterology Service,01D,C_301,134,66,64,90,61,94,77,77,75,64,62,76,70,52,54,57,45,29,33,63,64,53,70,27,48,40,24,35,42,33,31,39,51,25,36,27,42,21,25,19,23,15,20,8,7,7,2,6,6,6,5,2,3,2,2,4,5,4,3,3,3,8,4,6,6,3,4,4,3,0,3,7,8,2,1,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hull,Gastroenterology Service,03F,C_301,51,31,51,62,52,84,46,58,69,68,60,58,43,49,42,41,31,32,35,35,53,28,32,16,30,27,20,21,23,15,13,15,12,19,15,12,12,10,6,6,11,6,7,5,4,3,5,4,5,5,3,4,5,1,3,3,1,3,6,1,2,1,3,1,4,1,2,2,0,1,1,0,2,1,1,0,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Ipswich And East Suffolk,Gastroenterology Service,06L,C_301,179,137,101,94,80,92,66,60,72,62,53,52,37,42,32,35,36,37,27,32,20,19,31,10,27,33,26,38,28,27,35,42,27,38,30,26,28,23,25,10,24,22,11,21,19,15,31,20,20,20,18,19,20,14,9,16,14,13,12,16,19,14,11,9,4,4,1,2,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kent And Medway,Gastroenterology Service,91Q,C_301,606,453,547,546,389,429,457,459,457,455,432,441,428,435,410,369,297,218,327,262,304,260,299,230,282,250,231,224,262,222,276,232,197,204,232,182,175,185,148,68,117,154,130,100,105,78,104,83,64,84,54,41,38,35,28,17,15,12,13,12,8,5,5,6,6,2,7,2,4,4,1,0,1,1,4,2,0,1,2,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
Kernow,Gastroenterology Service,11N,C_301,379,169,163,146,191,101,102,78,128,77,73,74,80,130,53,57,41,77,41,42,41,30,29,15,33,15,21,22,21,21,10,13,9,6,11,10,12,10,3,2,10,10,3,11,5,11,3,3,5,1,2,4,1,0,3,1,0,0,2,0,2,1,0,1,0,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kirklees,Gastroenterology Service,X2C4Y,C_301,160,119,133,116,102,69,72,80,103,49,59,74,70,54,41,43,29,45,45,36,20,44,36,16,25,31,23,22,33,18,25,16,17,21,26,16,12,14,7,8,16,17,10,12,11,8,5,11,5,3,4,4,2,5,4,5,3,2,6,2,3,1,5,3,0,0,1,0,1,0,1,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Knowsley,Gastroenterology Service,01J,C_301,166,108,139,86,47,87,82,71,49,61,52,39,42,53,36,39,40,21,28,36,44,22,22,19,19,30,20,13,17,27,24,23,23,36,28,19,18,15,20,4,16,7,10,14,9,7,11,4,4,3,8,9,9,5,9,6,4,7,6,7,3,4,7,7,7,5,2,8,9,3,3,2,4,0,1,1,1,0,3,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Leeds,Gastroenterology Service,15F,C_301,265,223,244,218,151,139,172,148,121,110,104,136,148,104,81,83,52,44,33,25,22,15,25,11,17,8,10,12,11,13,10,4,14,13,7,10,12,11,11,4,10,7,3,6,3,9,4,3,3,3,6,2,4,4,2,2,1,2,2,6,0,1,2,1,3,0,1,2,1,0,0,5,1,2,1,2,0,0,2,2,0,1,1,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Leicester City,Gastroenterology Service,04C,C_301,147,87,90,84,67,93,85,61,94,73,87,93,90,114,101,100,87,93,108,90,114,74,83,60,79,108,73,68,66,87,110,87,74,84,79,100,87,61,37,23,37,65,61,62,50,66,39,54,38,48,33,50,45,36,39,41,30,41,23,25,29,24,19,22,23,20,22,22,12,10,25,26,19,10,22,17,17,4,15,17,20,23,26,12,17,11,9,8,16,11,3,4,5,7,2,3,5,7,4,2,4,3,0,1,2
Lincolnshire,Gastroenterology Service,71E,C_301,224,139,183,182,119,155,136,148,167,168,154,161,132,154,182,173,142,155,172,157,164,132,140,86,165,128,126,144,125,125,127,104,134,124,97,102,104,95,56,46,99,94,72,103,76,70,55,74,56,69,65,67,79,70,80,64,50,49,52,67,38,56,52,58,43,52,67,60,50,48,69,50,64,33,34,28,32,15,24,38,24,23,29,12,21,16,21,17,11,6,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0
Liverpool,Gastroenterology Service,99A,C_301,315,167,191,249,146,176,155,165,191,165,142,164,110,156,135,122,119,81,97,87,142,91,108,47,66,60,69,70,67,91,86,73,79,129,46,49,54,43,35,31,42,32,26,48,41,26,60,34,19,23,18,22,19,17,19,20,17,16,10,13,9,11,12,20,8,12,16,10,13,6,10,3,4,2,1,2,2,0,6,2,3,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Manchester,Gastroenterology Service,14L,C_301,328,207,288,208,120,147,142,117,147,123,140,141,138,108,103,104,68,78,84,98,83,72,78,56,99,72,68,100,95,62,90,50,58,61,58,41,43,33,35,25,53,45,36,44,44,32,32,36,29,32,21,18,24,27,25,29,10,10,16,20,21,17,12,18,9,5,14,11,8,18,16,10,11,6,7,13,17,5,13,7,10,6,6,4,4,4,3,0,0,1,3,0,1,1,0,1,1,0,0,0,0,0,0,0,1
Mid Essex,Gastroenterology Service,06Q,C_301,221,115,144,126,95,108,81,82,60,64,62,69,74,60,45,64,44,48,59,54,43,36,45,31,46,42,47,42,37,46,38,40,40,42,37,30,29,30,32,18,31,23,29,33,19,33,31,25,43,28,11,5,25,14,27,14,6,8,6,7,8,3,3,1,3,5,2,4,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Morecambe Bay,Gastroenterology Service,01K,C_301,97,70,106,85,72,61,83,76,68,70,60,65,66,71,56,55,39,23,33,38,32,24,26,24,28,38,30,27,33,28,16,32,18,20,31,14,19,20,8,3,12,11,12,3,12,12,8,6,7,4,10,8,7,3,2,8,3,2,1,0,0,1,1,0,2,3,1,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Newcastle Gateshead,Gastroenterology Service,13T,C_301,192,136,164,153,114,139,141,144,118,109,127,126,123,121,102,106,80,72,76,75,83,62,59,37,50,51,35,30,25,35,24,21,23,17,26,9,12,22,10,3,12,15,14,14,21,22,21,5,6,1,2,1,1,2,0,1,1,1,1,2,0,2,1,0,0,0,1,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Norfolk And Waveney,Gastroenterology Service,26A,C_301,375,299,310,289,212,285,243,216,205,189,128,185,158,178,139,141,93,68,113,108,87,95,75,56,56,66,56,47,39,43,44,40,35,55,49,36,38,40,16,15,26,18,31,25,34,20,26,18,14,11,17,11,15,8,5,4,1,3,1,1,2,0,2,0,4,1,2,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
North Central London,Gastroenterology Service,93C,C_301,454,346,413,385,291,329,311,295,334,303,296,273,283,282,255,237,166,173,191,181,180,181,171,83,144,161,121,106,92,110,111,84,72,79,73,68,60,41,47,22,36,39,31,32,32,29,22,32,18,19,21,19,7,7,5,11,4,3,3,4,0,0,3,2,0,1,1,2,1,0,1,1,1,0,0,1,1,0,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
North Cumbria,Gastroenterology Service,01H,C_301,93,56,86,81,59,74,77,84,101,77,85,84,85,71,68,102,56,70,81,61,88,60,80,45,55,40,29,27,31,35,31,20,19,20,27,20,12,28,21,12,22,29,24,33,13,16,16,20,11,17,13,7,12,6,4,4,3,6,6,1,4,0,3,3,1,7,2,1,3,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
North East Essex,Gastroenterology Service,06T,C_301,139,101,128,84,64,75,73,83,65,50,58,50,49,60,60,59,44,43,46,54,40,29,40,17,36,31,41,43,36,49,32,30,39,29,21,31,28,30,18,11,23,17,23,27,18,18,23,19,25,26,18,16,12,7,12,9,7,6,4,8,6,0,4,1,6,3,4,1,3,0,1,2,6,3,3,4,1,1,4,2,9,6,6,4,2,3,2,2,2,4,5,1,4,2,0,1,2,2,2,0,1,0,0,0,0
North East Lincolnshire,Gastroenterology Service,03H,C_301,5,1,4,6,5,2,6,4,0,3,0,3,0,1,6,6,2,0,0,4,0,1,1,2,2,0,0,1,0,1,3,3,1,1,1,2,0,0,0,0,2,0,0,0,0,2,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
North East London,Gastroenterology Service,A3A8R,C_301,694,436,457,409,409,347,365,326,340,305,256,256,288,225,249,215,148,177,212,191,191,122,164,86,112,126,84,110,124,115,109,65,62,57,78,58,55,50,35,18,24,30,22,23,22,23,24,37,26,25,15,24,20,14,17,6,10,8,5,7,4,2,9,2,4,8,6,2,1,7,7,4,3,14,5,5,6,3,7,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
North Lincolnshire,Gastroenterology Service,03K,C_301,6,1,5,8,3,9,8,2,9,3,9,6,5,5,3,8,6,2,3,3,6,4,2,2,3,4,3,2,1,0,2,0,0,2,0,1,1,1,1,1,0,1,0,1,1,1,2,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
North Staffordshire,Gastroenterology Service,05G,C_301,85,79,93,76,57,64,100,141,71,79,54,45,61,37,54,36,36,40,50,46,55,39,57,46,74,61,64,38,50,41,40,27,32,44,45,37,39,45,40,8,20,14,21,20,39,22,22,16,11,17,13,2,5,1,2,2,1,1,0,5,0,1,1,0,3,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
North Tyneside,Gastroenterology Service,99C,C_301,77,44,46,51,31,62,63,68,59,57,59,53,41,60,59,53,48,47,32,25,18,14,30,16,24,20,21,14,7,12,18,23,24,16,20,21,4,15,11,17,18,16,16,15,23,29,27,6,3,1,0,3,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
North West London,Gastroenterology Service,W2U3Z,C_301,748,575,667,589,430,510,522,510,465,457,419,505,428,375,361,402,264,291,304,292,266,236,274,156,213,221,184,141,143,105,90,96,74,68,66,69,46,46,31,13,24,32,33,29,31,20,20,18,16,14,13,14,9,7,8,8,6,3,3,2,0,1,4,1,2,0,0,1,4,0,1,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
North Yorkshire,Gastroenterology Service,42D,C_301,120,78,74,76,63,82,79,68,74,74,73,80,74,76,60,68,48,51,60,56,52,50,37,22,39,38,43,31,33,34,34,26,30,36,32,19,18,20,9,9,26,18,18,18,18,21,15,17,10,7,6,9,6,4,1,3,1,1,1,2,3,1,1,1,0,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Northamptonshire,Gastroenterology Service,78H,C_301,216,166,279,237,174,208,203,213,234,129,178,142,208,175,138,134,148,111,109,92,89,105,77,66,71,83,71,59,63,48,66,57,51,33,62,14,18,11,16,4,10,10,6,36,5,3,10,5,2,3,0,3,6,4,3,0,2,2,0,2,0,2,2,0,0,2,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,1
Northumberland,Gastroenterology Service,00L,C_301,61,51,47,55,41,54,43,54,51,66,66,44,45,27,53,50,40,42,9,13,12,6,8,6,14,9,8,10,4,13,5,10,7,7,5,6,3,7,2,0,4,9,12,5,7,8,8,3,3,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Nottingham And Nottinghamshire,Gastroenterology Service,52R,C_301,765,526,637,375,377,392,300,351,296,279,264,275,275,225,231,294,181,206,253,207,188,141,182,103,102,163,122,120,120,125,134,125,93,115,90,81,81,65,57,36,57,63,61,58,55,49,45,42,31,34,28,23,23,27,18,28,16,28,32,19,14,14,16,18,7,10,10,11,13,4,9,8,8,3,1,4,8,3,2,9,3,5,3,2,0,1,1,0,0,1,0,0,4,0,0,2,1,0,0,2,0,3,1,1,3
Oldham,Gastroenterology Service,00Y,C_301,115,87,105,82,55,65,79,59,56,60,73,51,48,48,31,56,47,27,27,76,45,37,55,17,48,38,35,40,35,42,49,35,50,50,44,39,38,41,28,6,21,19,16,6,6,15,7,5,8,5,10,6,9,1,9,8,1,2,4,3,4,4,5,3,5,6,3,5,3,2,5,7,5,4,0,1,2,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Oxfordshire,Gastroenterology Service,10Q,C_301,259,195,181,174,134,132,125,130,119,104,124,118,107,88,70,92,66,53,65,63,66,59,57,31,56,53,54,50,51,57,29,39,37,51,28,31,25,33,22,8,27,31,33,25,18,23,17,19,15,11,18,15,13,10,5,9,3,5,5,2,4,4,6,6,3,1,4,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Portsmouth,Gastroenterology Service,10R,C_301,95,60,92,76,54,44,66,40,32,33,34,29,31,32,26,23,25,20,30,27,16,9,15,17,15,17,16,21,10,5,10,11,17,7,10,7,18,11,6,4,8,13,24,3,1,5,5,0,5,4,3,0,5,3,4,1,2,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rotherham,Gastroenterology Service,03L,C_301,65,59,76,55,25,38,38,37,39,30,35,25,32,29,21,25,19,10,36,25,26,13,21,19,24,17,14,15,15,11,17,3,10,4,4,2,8,4,5,1,3,5,4,3,2,2,0,1,2,0,3,2,1,1,0,1,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Salford,Gastroenterology Service,01G,C_301,145,108,140,116,67,92,88,86,105,86,81,96,74,51,47,59,17,30,33,46,28,10,32,13,27,19,18,14,13,18,18,13,10,10,6,6,13,13,7,5,9,5,5,3,4,2,2,1,4,7,6,6,7,0,2,2,1,2,2,1,0,1,0,1,2,2,1,0,0,0,1,1,2,0,1,0,1,2,2,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Sheffield,Gastroenterology Service,03N,C_301,243,199,220,162,189,177,196,163,184,107,99,118,191,140,139,100,97,81,99,95,80,92,65,38,57,44,68,37,34,37,31,36,15,12,17,9,5,12,4,5,7,1,8,6,3,3,4,0,2,2,1,1,0,0,0,0,1,0,1,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Shropshire, Telford And Wrekin",Gastroenterology Service,M2L0M,C_301,73,75,85,81,71,78,91,103,93,86,79,74,79,67,50,61,68,43,37,43,46,41,51,28,43,49,59,14,36,33,37,34,21,16,20,5,20,17,8,1,11,8,8,11,9,12,8,21,3,5,3,5,7,3,5,4,5,2,3,3,6,1,2,1,0,7,1,3,0,0,1,0,0,2,0,2,0,0,1,0,0,0,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Somerset,Gastroenterology Service,11X,C_301,132,117,133,134,62,84,89,91,102,88,83,117,99,96,63,98,90,48,87,64,56,45,52,35,58,69,36,37,24,29,35,21,20,35,20,17,12,20,7,2,4,7,11,11,9,13,10,3,9,9,5,4,1,4,4,6,4,2,2,5,6,5,1,3,4,2,4,3,1,1,1,0,2,3,2,0,1,0,1,1,1,1,3,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South East London,Gastroenterology Service,72Q,C_301,503,385,386,402,311,348,321,375,354,321,289,333,303,302,218,262,199,156,167,180,175,118,121,98,155,112,80,100,107,115,93,97,82,90,102,86,68,72,52,26,49,39,41,50,35,41,30,23,26,36,30,26,19,15,14,12,14,8,17,16,14,8,8,5,2,11,9,6,3,2,5,5,9,3,1,2,1,2,1,0,0,0,0,0,1,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
South East Staffordshire And Seisdon Peninsula,Gastroenterology Service,05Q,C_301,86,62,78,81,51,85,69,42,57,59,64,59,45,61,54,60,42,34,66,41,57,26,33,33,31,42,29,45,31,31,34,23,26,27,29,21,19,14,13,4,20,9,10,11,11,18,13,13,6,18,9,6,4,12,8,7,6,8,4,6,8,3,12,9,8,8,6,5,7,2,2,5,3,5,1,0,6,6,4,4,4,5,9,1,2,3,3,0,1,0,2,0,1,1,2,3,1,1,2,0,1,0,0,1,0
South Sefton,Gastroenterology Service,01T,C_301,76,32,54,69,41,56,74,62,61,64,42,39,47,95,54,48,40,40,46,52,72,26,59,24,46,36,46,46,36,64,52,47,54,63,37,43,28,35,28,14,36,18,23,29,15,21,21,10,12,13,12,20,9,22,14,9,6,12,8,14,8,8,6,10,13,6,16,16,11,6,5,2,2,2,1,1,2,1,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Tyneside,Gastroenterology Service,00N,C_301,63,52,40,40,33,43,24,24,32,29,27,17,25,20,27,21,13,15,14,17,8,9,12,4,5,9,5,10,5,3,0,0,2,2,2,0,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South West London,Gastroenterology Service,36L,C_301,571,448,577,419,410,385,390,390,391,336,368,318,344,358,319,295,273,224,235,275,198,164,189,129,131,163,154,156,126,117,110,111,86,90,92,79,70,69,44,31,52,46,49,28,18,30,36,20,19,13,11,10,6,4,5,3,2,1,1,2,5,0,1,1,1,1,3,1,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Southend,Gastroenterology Service,99G,C_301,113,75,85,80,78,79,65,52,33,42,44,44,57,29,27,20,15,14,14,17,10,6,6,1,4,4,6,2,7,3,5,8,2,2,0,4,5,5,2,0,0,0,2,0,1,3,1,2,5,2,1,1,0,1,0,0,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Southport And Formby,Gastroenterology Service,01V,C_301,41,19,26,35,35,42,33,27,20,17,26,24,15,29,19,16,12,12,12,14,21,12,15,7,9,17,10,11,9,5,5,7,8,6,2,4,4,5,2,3,6,0,4,5,1,1,8,2,3,1,3,1,1,2,1,2,1,2,0,2,0,0,2,2,0,0,3,1,0,2,1,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
St Helens,Gastroenterology Service,01X,C_301,164,132,147,127,97,99,103,94,60,58,49,41,38,40,44,18,17,12,17,16,17,15,24,8,11,19,9,9,9,11,8,5,9,6,6,3,7,10,3,1,2,2,1,6,2,3,0,3,2,3,2,2,1,1,2,1,1,3,2,1,0,0,1,0,0,0,0,0,0,0,1,0,0,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Stafford And Surrounds,Gastroenterology Service,05V,C_301,66,44,81,68,52,58,44,39,61,59,64,30,48,37,28,38,24,37,40,49,45,35,28,18,43,22,36,33,36,33,35,27,32,36,15,22,26,25,10,7,21,26,18,13,20,8,16,15,8,14,3,2,3,3,3,4,1,3,2,4,8,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Stockport,Gastroenterology Service,01W,C_301,145,110,149,119,104,106,146,102,69,117,116,104,91,115,69,79,61,85,87,96,62,62,72,48,73,57,61,81,58,60,77,54,65,55,59,65,40,42,31,26,43,57,35,33,26,35,48,35,35,42,33,21,26,28,23,13,20,16,13,18,13,14,10,15,16,15,12,10,10,9,11,21,7,10,12,12,4,3,8,8,7,1,4,2,5,2,3,2,3,2,1,0,1,1,2,0,1,1,1,0,0,0,0,0,0
Stoke On Trent,Gastroenterology Service,05W,C_301,110,80,134,79,82,70,111,166,89,92,72,52,90,68,47,56,54,59,51,71,80,52,62,39,79,58,94,46,54,47,52,39,44,51,53,44,35,45,50,20,16,19,29,31,45,33,23,23,14,11,9,8,4,6,3,2,2,3,2,0,0,1,2,2,2,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
